nohup: ignoring input
==============================================================================
EXPANDED VANET PARALLEL BATCH
==============================================================================
Workers                 : 2
Existing locked runs    : 2700
New completed instances : 2150 / 2340
Instances this launch   : 190
Same-seed retries       : 3
==============================================================================
[DEFERRED] INST_3051 | AODV: NS-2 failed: 
[PASS] INST_3211 | 150 nodes | 50 km/h | 22 flows | 5 pps | seed 1 | 2310/2340
[PASS] INST_3212 | 150 nodes | 50 km/h | 22 flows | 5 pps | seed 2 | 2311/2340
[PASS] INST_3213 | 150 nodes | 50 km/h | 22 flows | 5 pps | seed 3 | 2312/2340
[PASS] INST_3214 | 150 nodes | 50 km/h | 22 flows | 5 pps | seed 4 | 2313/2340
[PASS] INST_3215 | 150 nodes | 50 km/h | 22 flows | 5 pps | seed 5 | 2314/2340
[PASS] INST_3216 | 150 nodes | 50 km/h | 22 flows | 6 pps | seed 1 | 2315/2340
[PASS] INST_3217 | 150 nodes | 50 km/h | 22 flows | 6 pps | seed 2 | 2316/2340
[PASS] INST_3218 | 150 nodes | 50 km/h | 22 flows | 6 pps | seed 3 | 2317/2340
[PASS] INST_3219 | 150 nodes | 50 km/h | 22 flows | 6 pps | seed 4 | 2318/2340
[PASS] INST_3220 | 150 nodes | 50 km/h | 22 flows | 6 pps | seed 5 | 2319/2340
[PASS] INST_3221 | 150 nodes | 50 km/h | 22 flows | 8 pps | seed 1 | 2320/2340
[PASS] INST_3222 | 150 nodes | 50 km/h | 22 flows | 8 pps | seed 2 | 2321/2340
[PASS] INST_3223 | 150 nodes | 50 km/h | 22 flows | 8 pps | seed 3 | 2322/2340
[PASS] INST_3224 | 150 nodes | 50 km/h | 22 flows | 8 pps | seed 4 | 2323/2340
[PASS] INST_3225 | 150 nodes | 50 km/h | 22 flows | 8 pps | seed 5 | 2324/2340
[PASS] INST_3226 | 150 nodes | 50 km/h | 25 flows | 3 pps | seed 1 | 2325/2340
[PASS] INST_3227 | 150 nodes | 50 km/h | 25 flows | 3 pps | seed 2 | 2326/2340
[PASS] INST_3228 | 150 nodes | 50 km/h | 25 flows | 3 pps | seed 3 | 2327/2340
[PASS] INST_3229 | 150 nodes | 50 km/h | 25 flows | 3 pps | seed 4 | 2328/2340
[PASS] INST_3230 | 150 nodes | 50 km/h | 25 flows | 3 pps | seed 5 | 2329/2340
[PASS] INST_3231 | 150 nodes | 50 km/h | 25 flows | 5 pps | seed 1 | 2330/2340
[PASS] INST_3232 | 150 nodes | 50 km/h | 25 flows | 5 pps | seed 2 | 2331/2340
[PASS] INST_3233 | 150 nodes | 50 km/h | 25 flows | 5 pps | seed 3 | 2332/2340
