Nodes,Speed_kmh,Flows,Packet_Rate_pps,Best_Protocol,Best_Score,Second_Best_Protocol,Second_Best_Score,Score_Margin
150,40,10,4,AOMDV,0.6831503064405523,AODV,0.443238220603106,0.23991208583744628
150,40,10,8,AODV,0.6832860263732063,AOMDV,0.5237162612425525,0.1595697651306538
150,40,15,2,AOMDV,0.6586664721962829,AODV,0.5303328517602064,0.12833362043607655
150,40,15,4,AOMDV,0.8601470627332017,DSDV,0.44666024719424635,0.4134868155389554
150,40,15,8,DSDV,0.75,AODV,0.6604537234283575,0.08954627657164249
150,40,20,2,AOMDV,0.6858992318302559,AODV,0.44738500291987127,0.23851422891038465
150,40,20,4,DSDV,0.75,AOMDV,0.5514399859150569,0.19856001408494306
150,40,20,8,DSDV,0.75,AODV,0.6236977920747209,0.12630220792527913
150,40,25,2,AOMDV,0.8226034680484607,DSDV,0.42910730083647497,0.39349616721198577
150,40,25,4,DSDV,0.75,AODV,0.42535814015039974,0.32464185984960026
150,40,25,8,DSDV,0.9866531694923899,AODV,0.4925509082071456,0.4941022612852443
150,50,5,2,AOMDV,0.6647928995091209,AODV,0.6503222898422188,0.014470609666902057
150,50,5,4,AOMDV,0.7047549033164935,AODV,0.5781163298528631,0.1266385734636304
150,50,5,8,AOMDV,0.7254462446606463,AODV,0.6429095336921627,0.08253671096848358
150,50,10,2,AODV,0.6585385556645569,AOMDV,0.6489814629783925,0.009557092686164337
150,50,10,4,AOMDV,0.6856655402504471,AODV,0.4601579450185582,0.2255075952318889
150,50,10,8,AOMDV,0.8432293926317682,AODV,0.36898804827944376,0.47424134435232446
150,50,15,2,AOMDV,0.6679230514281533,AODV,0.5900638537692208,0.07785919765893257
150,50,15,4,AOMDV,0.8145385212920098,DSDV,0.4331960776816297,0.38134244361038006
150,50,15,8,AODV,0.6480787979822279,DSDV,0.5311474376927396,0.11693136028948825
150,50,20,2,AOMDV,0.6798055978083365,AODV,0.42513008087455184,0.25467551693378465
150,50,20,4,AOMDV,0.6420221645416068,DSDV,0.5,0.14202216454160677
150,50,20,8,AODV,0.7390308843295399,DSDV,0.6066088712607591,0.13242201306878076
150,50,25,2,AOMDV,0.8119512638072858,DSDV,0.4283993492548606,0.38355191455242515
150,50,25,4,DSDV,0.75,AODV,0.46003885974930653,0.28996114025069347
150,50,25,8,DSDV,0.9814775877642689,AODV,0.6747964594017744,0.3066811283624945
