Instance_ID,Nodes,Speed_kmh,Flows,Packet_Rate_pps,Mobility_Seed,Simulation_Seed,Best_Protocol,Best_Score,Second_Best_Protocol,Second_Best_Score,Score_Margin
INST_0465,100,40,5,8,5,100465,AOMDV,0.6133789048327638,AODV,0.4809128026188926,0.13246610221387123
INST_0466,100,40,10,2,1,100466,AODV,0.769371280877797,AOMDV,0.6085814307081011,0.16078985016969594
INST_0467,100,40,10,2,2,100467,AODV,0.6607666584908503,DSDV,0.5840699128133349,0.07669674567751539
INST_0468,100,40,10,2,3,100468,AODV,0.7099240611079352,AOMDV,0.5924782001485707,0.11744586095936449
INST_0469,100,40,10,2,4,100469,AODV,0.6488722852779153,AOMDV,0.627396163653809,0.02147612162410628
INST_0470,100,40,10,2,5,100470,AODV,0.7737681226701525,AOMDV,0.5740154759742917,0.1997526466958608
INST_0471,100,40,10,4,1,100471,AOMDV,0.6221969194192097,AODV,0.4519193982969966,0.17027752112221312
INST_0472,100,40,10,4,2,100472,AOMDV,0.5961109047843557,AODV,0.4821893905560782,0.11392151422827751
INST_0473,100,40,10,4,3,100473,AOMDV,0.598571952376006,AODV,0.5831992250135078,0.015372727362498173
INST_0474,100,40,10,4,4,100474,AODV,0.6629132517283641,AOMDV,0.5907859246783937,0.07212732704997038
INST_0475,100,40,10,4,5,100475,AOMDV,0.5765931422559832,AODV,0.5120092156731836,0.06458392658279966
INST_0476,100,40,10,8,1,100476,AOMDV,0.7974271632143949,DSDV,0.5974263452166555,0.2000008179977394
INST_0477,100,40,10,8,2,100477,AOMDV,0.7337898646499939,AODV,0.4505339869473697,0.28325587770262417
INST_0478,100,40,10,8,3,100478,AOMDV,0.8846346041460763,AODV,0.469293563816814,0.41534104032926233
INST_0479,100,40,10,8,4,100479,AOMDV,0.7073472118605132,DSDV,0.3618617467010896,0.3454854651594236
INST_0480,100,40,10,8,5,100480,AOMDV,0.811107388126198,AODV,0.6499424925771844,0.1611648955490136
INST_0481,100,40,15,2,1,100481,AOMDV,0.5986811135619261,AODV,0.5755995177743436,0.02308159578758251
